english	translation	category	sub_category	source
Dwarf remains	ドワーフの遺体	name	item	Dwarf remains
Toolkit	ツールキット	name	item	Toolkit
Cannonball	大砲の弾	name	item	Cannonball
Nulodion's notes	ヌロディオンのメモ	name	item	Nulodion's notes
Ammo mould	大砲弾の鋳型	name	item	Ammo mould
Instruction manual	取扱説明書	name	item	Instruction manual
Cannon base	大砲の台	name	item	Cannon base
Cannon stand	大砲のスタンド	name	item	Cannon stand
Cannon barrels	大砲の砲身	name	item	Cannon barrels
Cannon furnace	大砲の炉	name	item	Cannon furnace
Railing	手すり	name	item	Railing
Holy table napkin	聖なるテーブルナプキン	name	item	Holy table napkin
Magic whistle	魔法の笛	name	item	Magic whistle
Grail bell	聖杯の鐘	name	item	Grail bell
Magic gold feather	魔法の金の羽	name	item	Magic gold feather
Holy grail	聖杯	name	item	Holy grail
White cog	白い歯車	name	item	White cog
Black cog	黒い歯車	name	item	Black cog
Blue cog	青い歯車	name	item	Blue cog
Red cog	赤い歯車	name	item	Red cog
Rat poison	ネズミ毒	name	item	Rat poison
Red vine worm	赤いツル虫	name	item	Red vine worm
Fishing trophy	釣りトロフィー	name	item	Fishing trophy
Fishing pass	釣り許可証	name	item	Fishing pass
Insect repellent	防虫剤	name	item	Insect repellent
Bucket of wax	ロウのバケツ	name	item	Bucket of wax
Lit black candle	火のついた黒いロウソク	name	item	Lit black candle
Lit candle	火のついたロウソク	name	item	Lit candle
Null	ヌル	name	item	Null
Excalibur	エクスカリバー	name	item	Excalibur
Candle	ロウソク	name	item	Candle
Black candle	黒いロウソク	name	item	Black candle
Bronze arrowtips	銅の矢じり	name	item	Bronze arrowtips
Iron arrowtips	鉄の矢じり	name	item	Iron arrowtips
Steel arrowtips	鋼鉄の矢じり	name	item	Steel arrowtips
Mithril arrowtips	ミスリルの矢じり	name	item	Mithril arrowtips
Adamant arrowtips	アダマントの矢じり	name	item	Adamant arrowtips
Rune arrowtips	ルーンの矢じり	name	item	Rune arrowtips
Opal bolt tips	オパールのボルト先端	name	item	Opal bolt tips
Pearl bolt tips	パールのボルト先端	name	item	Pearl bolt tips
Barb bolttips	トゲのあるボルト先端	name	item	Barb bolttips
Longbow (u)	長弓（未）	name	item	Longbow (u)
Shortbow (u)	短弓（未）	name	item	Shortbow (u)
Arrow shaft	矢のシャフト	name	item	Arrow shaft
Headless arrow	矢柄	name	item	Headless arrow
Oak shortbow (u)	楓の短弓（未）	name	item	Oak shortbow (u)
Oak longbow (u)	楓の長弓（未）	name	item	Oak longbow (u)
Willow longbow (u)	柳の長弓（未）	name	item	Willow longbow (u)
Willow shortbow (u)	柳の短弓（未）	name	item	Willow shortbow (u)
Maple longbow (u)	楓の長弓（未）	name	item	Maple longbow (u)
Maple shortbow (u)	楓の短弓（未）	name	item	Maple shortbow (u)
Yew longbow (u)	イチイの長弓（未）	name	item	Yew longbow (u)
Yew shortbow (u)	イチイの短弓（未）	name	item	Yew shortbow (u)
Magic longbow (u)	魔法樹の長弓（未）	name	item	Magic longbow (u)
Magic shortbow (u)	魔法樹の短弓（未）	name	item	Magic shortbow (u)
Khazard helmet	カザードの鉄兜	name	item	Khazard helmet
Khazard armour	カザードの鎧	name	item	Khazard armour
Khazard cell keys	カザードの監房のカギ	name	item	Khazard cell keys
Khali brew	カリの醸造酒	name	item	Khali brew
Ice arrows	氷の矢	name	item	Ice arrows
Lever	レバー	name	item	Lever
Staff of armadyl	アーマディルの杖	name	item	Staff of armadyl
Shiny key	光沢のあるカギ	name	item	Shiny key
Pendant of lucien	ルシエンの首飾り	name	item	Pendant of lucien
Armadyl pendant	アーマディルの首飾り	name	item	Armadyl pendant
Boots of lightness	軽快な靴	name	item	Boots of lightness
Child's blanket	子供の毛布	name	item	Child's blanket
Guam potion (unf)	グアムの薬液（未）	name	item	Guam potion (unf)
Marrentill potion (unf)	マレンテルの薬液（未）	name	item	Marrentill potion (unf)
Tarromin potion (unf)	タロミンの薬液（未）	name	item	Tarromin potion (unf)
Harralander potion (unf)	ハラランダーの薬液（未）	name	item	Harralander potion (unf)
Ranarr potion (unf)	ラナーの薬液（未）	name	item	Ranarr potion (unf)
Irit potion (unf)	アイリットの薬液（未）	name	item	Irit potion (unf)
Avantoe potion (unf)	アバントーの薬液（未）	name	item	Avantoe potion (unf)
Kwuarm potion (unf)	クワームの薬液（未）	name	item	Kwuarm potion (unf)
Cadantine potion (unf)	カンダタインの薬液（未）	name	item	Cadantine potion (unf)
Dwarf weed potion (unf)	ドワーフ草の薬液（未）	name	item	Dwarf weed potion (unf)
Torstol potion (unf)	トーストルの薬液（未）	name	item	Torstol potion (unf)
Strength potion(4)	腕力増強薬（４）	name	item	Strength potion(4)
Strength potion(3)	腕力増強薬（３）	name	item	Strength potion(3)
Strength potion(2)	腕力増強薬（２）	name	item	Strength potion(2)
Strength potion(1)	腕力増強薬（１）	name	item	Strength potion(1)
Attack potion(3)	攻撃力増強薬（３）	name	item	Attack potion(3)
Attack potion(2)	攻撃力増強薬（２）	name	item	Attack potion(2)
Attack potion(1)	攻撃力増強薬（１）	name	item	Attack potion(1)
Restore potion(3)	回復薬（３）	name	item	Restore potion(3)
Restore potion(2)	回復薬（２）	name	item	Restore potion(2)
Restore potion(1)	回復薬（１）	name	item	Restore potion(1)
Defence potion(3)	守備力増強薬（３）	name	item	Defence potion(3)
Defence potion(2)	守備力増強薬（２）	name	item	Defence potion(2)
Defence potion(1)	守備力増強薬（１）	name	item	Defence potion(1)
Prayer potion(3)	祈祷の薬液（３）	name	item	Prayer potion(3)
Prayer potion(2)	祈祷の薬液（２）	name	item	Prayer potion(2)
Prayer potion(1)	祈祷の薬液（１）	name	item	Prayer potion(1)
Super attack(3)	超攻撃力薬（３）	name	item	Super attack(3)
Super attack(2)	超攻撃力薬（２）	name	item	Super attack(2)
Super attack(1)	超攻撃力薬（１）	name	item	Super attack(1)
Fishing potion(3)	釣り増強薬（３）	name	item	Fishing potion(3)
Fishing potion(2)	釣り増強薬（２）	name	item	Fishing potion(2)
Fishing potion(1)	釣り増強薬（１）	name	item	Fishing potion(1)
Super strength(3)	超腕力薬（３）	name	item	Super strength(3)
Super strength(2)	超腕力薬（２）	name	item	Super strength(2)
Super strength(1)	超腕力薬（１）	name	item	Super strength(1)
Super defence(3)	超守備力薬（３）	name	item	Super defence(3)
Super defence(2)	超守備力薬（２）	name	item	Super defence(2)
Super defence(1)	超守備力薬（１）	name	item	Super defence(1)
Ranging potion(3)	弓増強薬（３）	name	item	Ranging potion(3)
Ranging potion(2)	弓増強薬（２）	name	item	Ranging potion(2)
Ranging potion(1)	弓増強薬（１）	name	item	Ranging potion(1)
Antipoison(3)	解毒剤（３）	name	item	Antipoison(3)
Antipoison(2)	解毒剤（２）	name	item	Antipoison(2)
Antipoison(1)	解毒剤（１）	name	item	Antipoison(1)
Superantipoison(3)	超解毒剤（３）	name	item	Superantipoison(3)
Superantipoison(2)	超解毒剤（２）	name	item	Superantipoison(2)
Superantipoison(1)	超解毒剤（１）	name	item	Superantipoison(1)
Weapon poison	武器用毒	name	item	Weapon poison
Zamorak brew(3)	ザモラックの秘薬（３）	name	item	Zamorak brew(3)
Zamorak brew(2)	ザモラックの秘薬（２）	name	item	Zamorak brew(2)
Zamorak brew(1)	ザモラックの秘薬（１）	name	item	Zamorak brew(1)
Potion	薬液	name	item	Potion
Poison chalice	毒杯	name	item	Poison chalice
Grimy guam leaf	汚れたグアム	name	item	Grimy guam leaf
